Address 1,Address 2,Canonical Address 1 & 2,latitude,longitude,Level,Lat/Long
Sindhupalchok,SipaPokhare,"SipaPokhare, Sindhupalchok",27.76302053,85.62866627,VDC,27.7630205251338 - 85.6286662668094VDC
Rupandehi,Sipawa,"Sipawa, Rupandehi",27.44792467,83.31375874,VDC,27.4479246700374 - 83.3137587374042VDC
Kalikot,Sipkhana,"Sipkhana, Kalikot",29.26623467,81.62593608,VDC,29.2662346695807 - 81.6259360767886VDC
Darchula,Sipti,"Sipti, Darchula",29.76830024,80.69748759,VDC,29.768300240312 - 80.697487591904VDC
Siraha,,Siraha,26.74398,86.35271,District,26.7439823734382 - 86.3527110026512District
Siraha,SirahaN.P.,"SirahaN.P., Siraha",26.66027824,86.21356023,VDC,26.6602782375387 - 86.2135602293458VDC
Gorkha,Sirdibas,"Sirdibas, Gorkha",28.40414832,84.82101178,VDC,28.4041483170651 - 84.8210117756751VDC
Udayapur,Sirise,"Sirise, Udayapur",27.03881579,86.41612629,VDC,27.0388157940851 - 86.416126288824VDC
Rolpa,Sirpa,"Sirpa, Rolpa",28.22488357,82.81666411,VDC,28.2248835681097 - 82.8166641129178VDC
Syangja,Sirsekot,"Sirsekot, Syangja",28.00404928,83.68844381,VDC,28.0040492811816 - 83.6884438106108VDC
Gulmi,Sirseni,"Sirseni, Gulmi",28.19381515,83.10429549,VDC,28.1938151540793 - 83.1042954900112VDC
Dadeldhura,Sirsha,"Sirsha, Dadeldhura",29.19098697,80.35393307,VDC,29.1909869707991 - 80.3539330695559VDC
Kapilbastu,Sirsihawa,"Sirsihawa, Kapilbastu",27.51695869,82.77149064,VDC,27.516958686013 - 82.7714906389176VDC
Parsa,SirsiyaKhalwatola,"SirsiyaKhalwatola, Parsa",27.05733257,84.76310025,VDC,27.0573325688472 - 84.7631002519225VDC
Sindhuli,Sirthouli,"Sirthouli, Sindhuli",27.03048946,86.20436398,VDC,27.030489459125 - 86.2043639787928VDC
Bhaktapur,Sirutar,"Sirutar, Bhaktapur",27.65067714,85.38353648,VDC,27.6506771399998 - 85.3835364801096VDC
Morang,Sisabanibadahara,"Sisabanibadahara, Morang",26.60311236,87.308349,VDC,26.6031123557227 - 87.3083490029491VDC
Bara,Sisahaniya,"Sisahaniya, Bara",27.00948721,84.98045488,VDC,27.0094872112404 - 84.9804548764791VDC
Dang,Sisahaniya,"Sisahaniya, Dang",27.86821818,82.64901895,VDC,27.8682181750407 - 82.6490189508097VDC
Baglung,Sisakhani,"Sisakhani, Baglung",28.10601582,83.58424035,VDC,28.1060158160294 - 83.5842403499529VDC
Kavrepalanchok,Sisakhani,"Sisakhani, Kavrepalanchok",27.48377762,85.64202568,VDC,27.4837776198285 - 85.6420256848425VDC
Kapilbastu,Sisawa,"Sisawa, Kapilbastu",27.52864041,82.93391631,VDC,27.5286404096884 - 82.9339163074685VDC
Mahottari,Sisawakataiya,"Sisawakataiya, Mahottari",26.70234487,85.73703289,VDC,26.7023448701358 - 85.7370328949475VDC
Siraha,Sisawani,"Sisawani, Siraha",26.70246914,86.44191307,VDC,26.702469143792 - 86.4419130724692VDC
Morang,Sisawanijahada,"Sisawanijahada, Morang",26.44777029,87.34724666,VDC,26.4477702855707 - 87.3472466573151VDC
Rukum,Sisne,"Sisne, Rukum",28.78983161,82.66567162,VDC,28.7898316088386 - 82.66567162073VDC
